"Date: 2016-05-25+0000"
"Version: 2.0"
"Status:
0 Normal
1 Completed
2 Archived"
"List Name","Title","Content","Is Checklist","Due Date","Reminder","Repeat","Priority","Status","Completed Time","Order","Timezone","Is All Day"
"自我成长","[写作] mlsl matplotlib 简介 [2h]","","N","2016-03-29T16:00:00+0000","","","0","2","2016-03-30T17:28:53+0000","-163827232538624","Asia/Shanghai","true"
"自我成长","[编程] pandas 核心数据结构录音 [1h]","","N","2016-03-29T16:00:00+0000","","","0","2","2016-03-30T17:28:31+0000","-162727720910848","Asia/Shanghai","true"
"自我成长","[编程] pandas 核心数据结构备课 [1h]","k","N","2016-03-28T16:00:00+0000","","","0","2","2016-03-29T02:29:49+0000","-161628209283072","Asia/Shanghai","true"
"自我成长","[写作] mlsl matplotlib 简介 [2.5h]","","N","2016-03-27T16:00:00+0000","","","0","2","2016-03-28T16:47:11+0000","-160528697655296","Asia/Shanghai","true"
"自我成长","[编程] pandas 核心数据结构备课 [2h]","","N","2016-03-27T16:00:00+0000","","","0","2","2016-03-28T16:45:56+0000","-159978941841408","Asia/Shanghai","true"
"自我成长","[写作] 博客《跑者蓝调》[3h]","","N","2016-03-25T16:00:00+0000","","","0","2","2016-03-26T17:08:08+0000","-159429186027520","Asia/Shanghai","true"
"自我成长","[编程] Pandas 教程 MovieLens 1M 数据分析视频录制及剪辑 [3h]","","N","2016-03-23T16:00:00+0000","","","0","2","2016-03-23T16:05:35+0000","-152832116260864","Asia/Shanghai","true"
"自我成长","[编程] Pandas 教程 MovieLens 1M 数据分析 [2h]","","N","2016-03-23T16:00:00+0000","","","0","2","2016-03-23T16:05:16+0000","-158329674399744","Asia/Shanghai","true"
"自我成长","[探索发现] vim 学习 [3h]","","N","2016-03-18T16:00:00+0000","","","0","2","2016-03-23T14:47:17+0000","-157230162771968","Asia/Shanghai","true"
"自我成长","[机器学习] cs224d lec3 [3h]","","N","2016-03-21T16:00:00+0000","","","0","2","2016-03-23T14:45:53+0000","-156680406958080","Asia/Shanghai","true"
"自我成长","[阅读] 《高质量 python 程序的 91 个建议》[1h]","","N","2016-03-19T16:00:00+0000","","","0","2","2016-03-21T14:09:39+0000","-156130651144192","Asia/Shanghai","true"
"自我成长","[阅读] 《松本行弘的程序世界》 [1h]","","N","2016-03-19T16:00:00+0000","","","0","2","2016-03-21T14:09:03+0000","-155031139516416","Asia/Shanghai","true"
"自我成长","[写作] mlsl numpy 简介 [3h]","","N","2016-03-20T16:00:00+0000","","","0","2","2016-03-21T14:08:16+0000","-153931627888640","Asia/Shanghai","true"
"自我成长","[写作] 《使用 kitabu 生成高颜值电子书》 [1h]","","N","2016-03-19T16:00:00+0000","","","0","2","2016-03-21T14:07:30+0000","-152832116260864","Asia/Shanghai","true"
"自我成长","[写作] scikit-learn 机器学习入门 [2h]","","N","2016-03-16T16:00:00+0000","","","0","2","2016-03-19T17:16:19+0000","-151732604633088","Asia/Shanghai","true"
"自我成长","[探索发现] kitabu 生成电子书 [4h]","","N","2016-03-18T16:00:00+0000","","","0","2","2016-03-19T17:14:43+0000","-151182848819200","Asia/Shanghai","true"
"自我成长","[编程] pandas 快速入门剪辑 [1.5h]","","N","2016-03-17T16:00:00+0000","","","0","2","2016-03-17T16:39:52+0000","-150633093005312","Asia/Shanghai","true"
"自我成长","[编程] pandas 快速入门录音剪辑 [3h]","","N","2016-03-16T16:00:00+0000","","","0","2","2016-03-16T17:11:34+0000","-149533581377536","Asia/Shanghai","true"
"自我成长","[阅读] 当我谈跑步时我在谈什么 [2h]","","N","2016-03-15T16:00:00+0000","","","0","2","2016-03-16T17:11:06+0000","-148434069749760","Asia/Shanghai","true"
"自我成长","[阅读] 当我谈跑步时我在谈什么 [2h]","","N","2016-03-14T16:00:00+0000","","","0","2","2016-03-16T17:10:54+0000","-147334558121984","Asia/Shanghai","true"
"自我成长","[阅读] 迷茫时代的明白人 [3h]","","N","2016-03-14T16:00:00+0000","","","0","2","2016-03-14T01:39:27+0000","-146235046494208","Asia/Shanghai","true"
"自我成长","[编程] pandas 快速入门备课 [3h]","","N","2016-03-12T16:00:00+0000","","","0","2","2016-03-14T01:36:20+0000","-145135534866432","Asia/Shanghai","true"
"自我成长","[探索发现] mac os dotfiles [3h]","","N","2016-03-07T16:00:00+0000","","","0","2","2016-03-09T02:10:59+0000","-144036023238656","Asia/Shanghai","true"
"自我成长","[机器学习] stanford cs224d lecture 3 [1.5h]","","N","2016-03-07T16:00:00+0000","","","0","2","2016-03-09T02:10:35+0000","-142936511610880","Asia/Shanghai","true"
"自我成长","[机器学习] stanford cs224d lecture 2 - reading papers [2h]","Distributed Representations of words and phrases and their compositionally","N","2016-03-06T16:00:00+0000","","","0","2","2016-03-07T16:22:25+0000","-141836999983104","Asia/Shanghai","true"
"自我成长","[写作] scikit-learn 机器学习实例入门教程 [2h]","","N","2016-03-06T16:00:00+0000","","","0","2","2016-03-07T16:21:03+0000","-140737488355328","Asia/Shanghai","true"
"自我成长","[编程] pandas 快速入门视频剪辑 [2h]","","N","2016-03-05T16:00:00+0000","","","0","2","2016-03-06T16:11:59+0000","-139637976727552","Asia/Shanghai","true"
"自我成长","[写作] stanford cs224d lecture 2 笔记 [3h]","","N","2016-03-05T16:00:00+0000","","","0","2","2016-03-06T16:11:38+0000","-138538465099776","Asia/Shanghai","true"
"自我成长","[机器学习] stanford cs224d lecture 2 [4h]","终于看懂了","N","2016-03-04T16:00:00+0000","","","0","2","2016-03-05T17:10:46+0000","-137438953472000","Asia/Shanghai","true"
"自我成长","[机器学习] stanford cs224d lecture 2 [1.5h]","","N","2016-03-02T16:00:00+0000","","","0","2","2016-03-04T01:03:36+0000","-136339441844224","Asia/Shanghai","true"
"自我成长","[探索发现] 阅读关于自我的解释 - 知乎谢熊猫君 [1h]","","N","2016-03-02T16:00:00+0000","","","0","2","2016-03-03T09:49:00+0000","-135239930216448","Asia/Shanghai","true"
"自我成长","[探索发现] 阅读人工智能以及费米悖论 - 知乎谢熊猫君 [3h]","","N","2016-03-02T16:00:00+0000","","","0","2","2016-03-03T09:48:12+0000","-134140418588672","Asia/Shanghai","true"
"自我成长","[编程] pandas 快速入门视频录制 [2h]","","N","2016-03-01T16:00:00+0000","","","0","2","2016-03-03T07:18:46+0000","-133040906960896","Asia/Shanghai","true"
"自我成长","[编程] pandas 快速入门一备课 [2h]","","N","2016-03-01T16:00:00+0000","","","0","2","2016-03-03T07:18:31+0000","-131941395333120","Asia/Shanghai","true"
"自我成长","[编程] numpy 介绍视频剪辑 [2h]","","N","2016-02-29T16:00:00+0000","","","0","2","2016-03-02T01:15:37+0000","-130841883705344","Asia/Shanghai","true"
"自我成长","[机器学习] stanford cs224d lecture 1 [1h]","","N","2016-02-28T16:00:00+0000","","","0","2","2016-03-01T06:41:50+0000","-129742372077568","Asia/Shanghai","true"
"自我成长","[编程] numpy 视频录制 [1h]","","N","2016-02-28T16:00:00+0000","","","0","2","2016-03-01T06:41:23+0000","-128642860449792","Asia/Shanghai","true"
"自我成长","[编程] numpy 介绍备课 [2h]","","N","2016-02-28T16:00:00+0000","","","0","2","2016-02-29T09:07:25+0000","-127543348822016","Asia/Shanghai","true"
"自我成长","[机器学习] stanford cs224d lecture 1 [2h]","","N","2016-02-24T16:00:00+0000","","","0","2","2016-02-26T03:11:01+0000","-126443837194240","Asia/Shanghai","true"
"自我成长","[编程] ipython 介绍视频录制 [30m]","","N","2016-02-24T16:00:00+0000","","","0","2","2016-02-26T03:09:58+0000","-125344325566464","Asia/Shanghai","true"
"自我成长","[编程] pandas 课程介绍视频录制剪辑 [1h]","","N","2016-02-24T16:00:00+0000","","","0","2","2016-02-26T03:09:32+0000","-124244813938688","Asia/Shanghai","true"
"自我成长","[编程] pandas 课程介绍备课 [1h]","","N","2016-02-23T16:00:00+0000","","","0","2","2016-02-24T07:46:16+0000","-123145302310912","Asia/Shanghai","true"
